Date,Ozone AQI Value,AQI Category,Site Name,Site ID,Source
01/26/2021,39,Good,Reseda,06-037-1201,AirNow
01/27/2021,39,Good,Signal Hill (LBSH),06-037-4009,AirNow
01/28/2021,36,Good,Azusa,06-037-0002,AirNow
01/29/2021,34,Good,Azusa,06-037-0002,AirNow
01/30/2021,38,Good,Reseda,06-037-1201,AirNow
01/31/2021,39,Good,Reseda,06-037-1201,AirNow
02-01-21,30,Good,Santa Clarita,06-037-6012,AirNow
02-02-21,40,Good,Reseda,06-037-1201,AirNow
02-03-21,37,Good,Reseda,06-037-1201,AirNow
02-04-21,44,Good,Santa Clarita,06-037-6012,AirNow
02-05-21,42,Good,Reseda,06-037-1201,AirNow
02-06-21,47,Good,Reseda,06-037-1201,AirNow
02-07-21,49,Good,Reseda,06-037-1201,AirNow
02-08-21,48,Good,Signal Hill (LBSH),06-037-4009,AirNow
02-09-21,44,Good,Lancaster-Division Street,06-037-9033,AirNow
02-10-21,44,Good,Reseda,06-037-1201,AirNow
02-11-21,46,Good,North Hollywood (NOHO),06-037-4010,AirNow
02-12-21,40,Good,Reseda,06-037-1201,AirNow
02/13/2021,42,Good,Reseda,06-037-1201,AirNow
02/14/2021,44,Good,Reseda,06-037-1201,AirNow
02/15/2021,38,Good,Lancaster-Division Street,06-037-9033,AirNow
02/16/2021,43,Good,Reseda,06-037-1201,AirNow
02/17/2021,43,Good,Reseda,06-037-1201,AirNow
02/18/2021,44,Good,Reseda,06-037-1201,AirNow
02/19/2021,40,Good,North Hollywood (NOHO),06-037-4010,AirNow
02/20/2021,43,Good,Azusa,06-037-0002,AirNow
02/21/2021,47,Good,North Hollywood (NOHO),06-037-4010,AirNow
02/22/2021,44,Good,Pasadena,06-037-2005,AirNow
02/23/2021,42,Good,Reseda,06-037-1201,AirNow
02/24/2021,51,Moderate,Reseda,06-037-1201,AirNow
02/25/2021,48,Good,Reseda,06-037-1201,AirNow
02/26/2021,46,Good,Lancaster-Division Street,06-037-9033,AirNow
02/27/2021,46,Good,Reseda,06-037-1201,AirNow
02/28/2021,46,Good,Azusa,06-037-0002,AirNow
03-01-21,45,Good,Reseda,06-037-1201,AirNow
03-02-21,48,Good,Reseda,06-037-1201,AirNow
03-03-21,46,Good,Lancaster-Division Street,06-037-9033,AirNow
03-04-21,50,Good,Lancaster-Division Street,06-037-9033,AirNow
03-05-21,67,Moderate,Reseda,06-037-1201,AirNow
03-06-21,50,Good,Reseda,06-037-1201,AirNow
03-07-21,47,Good,Lancaster-Division Street,06-037-9033,AirNow
03-08-21,44,Good,Reseda,06-037-1201,AirNow
03-09-21,45,Good,Reseda,06-037-1201,AirNow
03-10-21,43,Good,Reseda,06-037-1201,AirNow
03-11-21,44,Good,Reseda,06-037-1201,AirNow
03-12-21,43,Good,Signal Hill (LBSH),06-037-4009,AirNow
03/13/2021,44,Good,Lancaster-Division Street,06-037-9033,AirNow
03/14/2021,48,Good,Reseda,06-037-1201,AirNow
03/15/2021,43,Good,Signal Hill (LBSH),06-037-4009,AirNow
03/16/2021,40,Good,Signal Hill (LBSH),06-037-4009,AirNow
03/17/2021,49,Good,Lancaster-Division Street,06-037-9033,AirNow
03/18/2021,64,Moderate,Lancaster-Division Street,06-037-9033,AirNow
03/19/2021,42,Good,Glendora,06-037-0016,AirNow
03/20/2021,45,Good,North Hollywood (NOHO),06-037-4010,AirNow
03/21/2021,46,Good,Azusa,06-037-0002,AirNow
03/22/2021,48,Good,Pomona,06-037-1701,AirNow
03/23/2021,43,Good,Reseda,06-037-1201,AirNow
03/24/2021,47,Good,Reseda,06-037-1201,AirNow
03/25/2021,42,Good,Reseda,06-037-1201,AirNow
03/26/2021,44,Good,Reseda,06-037-1201,AirNow
03/27/2021,50,Good,Glendora,06-037-0016,AirNow
03/28/2021,80,Moderate,Pasadena,06-037-2005,AirNow
03/29/2021,71,Moderate,Reseda,06-037-1201,AirNow
03/30/2021,71,Moderate,Pasadena,06-037-2005,AirNow
03/31/2021,74,Moderate,North Hollywood (NOHO),06-037-4010,AirNow
04-01-21,80,Moderate,Reseda,06-037-1201,AirNow
04-02-21,97,Moderate,Santa Clarita,06-037-6012,AirNow
04-03-21,115,Unhealthy for Sensitive Groups,Glendora,06-037-0016,AirNow
04-04-21,115,Unhealthy for Sensitive Groups,Glendora,06-037-0016,AirNow
04-05-21,49,Good,Santa Clarita,06-037-6012,AirNow
04-06-21,54,Moderate,Santa Clarita,06-037-6012,AirNow
04-07-21,87,Moderate,Glendora,06-037-0016,AirNow
04-08-21,67,Moderate,Reseda,06-037-1201,AirNow
04-09-21,80,Moderate,Reseda,06-037-1201,AirNow
04-10-21,100,Moderate,Glendora,06-037-0016,AirNow
04-11-21,105,Unhealthy for Sensitive Groups,Santa Clarita,06-037-6012,AirNow
04-12-21,74,Moderate,Santa Clarita,06-037-6012,AirNow
04/13/2021,47,Good,Reseda,06-037-1201,AirNow
04/14/2021,51,Moderate,Santa Clarita,06-037-6012,AirNow
04/15/2021,54,Moderate,Pomona,06-037-1701,AirNow
04/16/2021,71,Moderate,Santa Clarita,06-037-6012,AirNow
04/17/2021,93,Moderate,Pomona,06-037-1701,AirNow
04/18/2021,71,Moderate,Signal Hill (LBSH),06-037-4009,AirNow
04/19/2021,84,Moderate,Pomona,06-037-1701,AirNow
04/20/2021,74,Moderate,Lancaster-Division Street,06-037-9033,AirNow
04/21/2021,44,Good,Reseda,06-037-1201,AirNow
04/22/2021,44,Good,Lancaster-Division Street,06-037-9033,AirNow
04/23/2021,47,Good,Reseda,06-037-1201,AirNow
04/24/2021,48,Good,Pomona,06-037-1701,AirNow
04/25/2021,46,Good,Lancaster-Division Street,06-037-9033,AirNow
04/26/2021,41,Good,Reseda,06-037-1201,AirNow
04/27/2021,45,Good,Reseda,06-037-1201,AirNow
04/28/2021,50,Good,Reseda,06-037-1201,AirNow
04/29/2021,93,Moderate,North Hollywood (NOHO),06-037-4010,AirNow
04/30/2021,136,Unhealthy for Sensitive Groups,Pasadena,06-037-2005,AirNow
05-01-21,90,Moderate,Santa Clarita,06-037-6012,AirNow
05-02-21,54,Moderate,Santa Clarita,06-037-6012,AirNow
05-03-21,54,Moderate,Pomona,06-037-1701,AirNow
05-04-21,100,Moderate,Glendora,06-037-0016,AirNow
05-05-21,133,Unhealthy for Sensitive Groups,Santa Clarita,06-037-6012,AirNow
05-06-21,84,Moderate,Santa Clarita,06-037-6012,AirNow
05-07-21,74,Moderate,Santa Clarita,06-037-6012,AirNow
05-08-21,93,Moderate,Santa Clarita,06-037-6012,AirNow
05-09-21,84,Moderate,Santa Clarita,06-037-6012,AirNow
05-10-21,51,Moderate,Santa Clarita,06-037-6012,AirNow
05-11-21,100,Moderate,Santa Clarita,06-037-6012,AirNow
05-12-21,100,Moderate,Santa Clarita,06-037-6012,AirNow
